llgsolver.__version__: 0.5.1
u0Ms = 0.9173450548482196 T
h_ani_x = 0 T
h_ani_z = 0.29265494515178037 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
    161/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.79806682 
    162/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.36416095 
    163/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.95856525 
    164/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.29810037 
    165/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.23232717 
    166/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.91169423 
    167/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.61939067 
    168/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.63860502 
    169/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.40296963 
    170/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.47885764 
    171/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.58308585 
    172/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.71565644 
    173/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.15975649 
    174/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.34901702 
    175/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.84981012 
    176/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.09576648 
    177/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.65325791 
    178/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.23910018 
    179/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  6.13647957 
    180/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.77902640 
